time,BTC_TR
2010-08-31,1.0
2010-09-30,1.0316666666666667
2010-10-31,3.208333333333334
2010-11-30,3.4700000000000006
2010-12-31,5.000000000000001
2011-01-31,8.75228117085525
2011-02-28,14.337015390609785
2011-03-31,13.076833333333335
2011-04-30,58.333333333333336
2011-05-31,145.3596070329242
2011-06-30,269.75437968049835
2011-07-31,222.88176837132332
2011-08-31,136.6525294077538
2011-09-30,85.72809849990266
2011-10-31,54.41830354568483
2011-11-30,49.434025764659985
2011-12-31,78.5717721897525
2012-01-31,92.30367159555814
2012-02-29,81.21247926164031
2012-03-31,81.49628121955963
2012-04-30,82.36861350087663
2012-05-31,86.36066202026096
2012-06-30,111.34046038379113
2012-07-31,155.34997336840044
2012-08-31,168.3734970095466
2012-09-30,206.52704121371494
2012-10-31,185.7678639684399
2012-11-30,209.76898212546325
2012-12-31,225.7592073933366
2013-01-31,341.8607171780632
2013-02-28,556.2548989431132
2013-03-31,1564.9873070524063
2013-04-30,2318.8274590882497
2013-05-31,2130.2748149230497
2013-06-30,1491.3484609390218
2013-07-31,1633.740332164427
2013-08-31,2139.632982661217
2013-09-30,2101.5043639197334
2013-10-31,3388.0608318722007
2013-11-30,18654.945246444502
2013-12-31,12159.293048509651
2014-01-31,13387.293313082018
2014-02-28,9188.246171829334
2014-03-31,7589.2559009351335
2014-04-30,7481.2619252334825
2014-05-31,10464.873678160915
2014-06-30,10649.101899473999
2014-07-31,9699.592699201248
2014-08-31,7975.190424702898
2014-09-30,6487.734006857581
2014-10-31,5619.715210403264
2014-11-30,6311.506618936296
2014-12-31,5344.371454315215
2015-01-31,3622.2026008182315
2015-02-28,4249.140809468147
2015-03-31,4078.541428014798
2015-04-30,3938.7996006234143
2015-05-31,3824.175798753164
2015-06-30,4397.572614416515
2015-07-31,4743.288739528531
2015-08-31,3844.8244350282475
2015-09-30,3945.6641340346814
2015-10-31,5235.325136372481
2015-11-30,6289.830664328847
2015-12-31,7161.285890317547
2016-01-31,6105.69479349308
2016-02-29,7296.264543152146
2016-03-31,6932.613520358464
2016-04-30,7498.341408533012
2016-05-31,8849.061546853678
2016-06-30,11238.080245470477
2016-07-31,10413.408119033693
2016-08-31,9537.879305474378
2016-09-30,10147.764012273525
2016-10-31,11648.295466588741
2016-11-30,12370.074188583658
2016-12-31,16149.509950321437
2017-01-31,16141.651761153305
2017-02-28,19806.66567894015
2017-03-31,18029.05885154882
2017-04-30,23032.60620494832
2017-05-31,38323.8768376193
2017-06-30,40878.53440483146
2017-07-31,47710.18818137529
2017-08-31,79005.93696181559
2017-09-30,72242.41020845511
2017-10-31,107141.9106175724
2017-11-30,166611.9161991037
2017-12-31,232024.67735729646
2018-01-31,167501.59661990986
2018-02-28,171783.74943989818
2018-03-31,115371.35494837322
2018-04-30,153812.1080605882
2018-05-31,124645.69778394687
2018-06-30,106259.02052405989
2018-07-31,128752.21726573136
2018-08-31,117085.67967075772
2018-09-30,110074.75047243324
2018-10-31,105105.28218877841
2018-11-30,66222.2342051431
2018-12-31,61453.33233489178
2019-01-31,56835.52693356711
2019-02-28,63215.79538281695
2019-03-31,68238.63024547044
2019-04-30,87776.97004188577
2019-05-31,142603.70309273322
2019-06-30,180710.27851646155
2019-07-31,167650.06698324488
2019-08-31,160083.74102376774
2019-09-30,138039.42423533992
2019-10-31,152587.95497954404
2019-11-30,125936.56202026106
2019-12-31,119456.58424410672
2020-01-31,155954.74637346572
2020-02-29,143034.83832748872
2020-03-31,107206.38736898491
2020-04-30,144206.84985388655
2020-05-31,157232.3974439897
2020-06-30,152399.45975501637
2020-07-31,188969.95567991483
2020-08-31,194639.13711474815
2020-09-30,179539.19611338316
