date,SP500_TR
1871-01-31,1.0
1871-02-28,1.0183933933933933
1871-03-31,1.0481908297186076
1871-04-30,1.082675777478692
1871-05-31,1.115034230743702
1871-06-30,1.1108279973629815
1871-07-31,1.0950797442883335
1871-08-31,1.1139870407894357
1871-09-30,1.130654209458171
1871-10-31,1.0773141176207848
1871-11-30,1.094134926283709
1871-12-31,1.1228245274398552
1872-01-31,1.156448068536696
1872-02-29,1.1664956034531488
1872-03-31,1.2101196705904849
1872-04-30,1.2492024541977003
1872-05-31,1.2547631736165628
1872-06-30,1.2483036463392576
1872-07-31,1.246748336240586
1872-08-31,1.2379212765331835
1872-09-30,1.2217513392239705
1872-10-31,1.2327203626113128
1872-11-30,1.233892315068725
1872-12-31,1.2700366354091221
1873-01-31,1.286371343943107
1873-02-28,1.30283907885823
1873-03-31,1.299202513468213
1873-04-30,1.2879732679995541
1873-05-31,1.2971837249838434
1873-06-30,1.2859457471683895
1873-07-31,1.2901956515369595
1873-08-31,1.2971182304855147
1873-09-30,1.2049562837772256
1873-10-31,1.1070590548392614
1873-11-30,1.0746377251206691
1873-12-31,1.1830324956619247
1874-01-31,1.2546300505464416
1874-02-28,1.2997267315478425
1874-03-31,1.2882187344455962
1874-04-30,1.2603027893545444
1874-05-31,1.2349597441338283
1874-06-30,1.2370271990626234
1874-07-31,1.2446546089223145
1874-08-31,1.255119754176706
1874-09-30,1.2824965273382787
1874-10-31,1.2874400712211906
1874-11-30,1.3066237808917052
1874-12-31,1.3059089976417644
1875-01-31,1.3137593132938876
1875-02-28,1.318702790886128
1875-03-31,1.3439924829298877
1875-04-30,1.3693692473134587
1875-05-31,1.3241530674178483
1875-06-30,1.305268334073802
1875-07-31,1.3160089838928073
1875-08-31,1.3297486372933587
1875-09-30,1.3254141391842675
1875-10-31,1.311892084179241
1875-11-30,1.3409393071671245
1875-12-31,1.3486105846680807
1876-01-31,1.3841003368961882
1876-02-29,1.4104789307608017
1876-03-31,1.4151597236726188
1876-04-30,1.3696612403172908
1876-05-31,1.3270565703995871
1876-06-30,1.3254691821574827
1876-07-31,1.3174844280481002
1876-08-31,1.2708904665683505
1876-09-30,1.2013633799749166
1876-10-31,1.2029912436334191
1876-11-30,1.1882406698014016
1876-12-31,1.1898910040650146
1877-01-31,1.187974326749342
1877-02-28,1.125555478496688
1877-03-31,1.0759192682111867
1877-04-30,1.0053028739697862
1877-05-31,1.0125462977385824
1877-06-30,0.9472531336979001
1877-07-31,0.9957087747678313
1877-08-31,1.072183284670833
1877-09-30,1.1453466112682487
1877-10-31,1.1762279603575618
1877-11-30,1.1643590739902074
1877-12-31,1.1664425385909056
1878-01-31,1.1721012803422235
1878-02-28,1.1525151674089151
1878-03-31,1.1799236452502042
1878-04-30,1.2183652419950197
1878-05-31,1.2276889679960727
1878-06-30,1.2590857043283077
1878-07-31,1.2905997702709533
1878-08-31,1.2851388272774937
1878-09-30,1.3168792729511951
1878-10-31,1.3075794366083602
1878-11-30,1.309483192109936
1878-12-31,1.3075963287207286
1879-01-31,1.3626069694389145
1879-02-28,1.417901027395685
1879-03-31,1.4008620101077989
1879-04-30,1.4528890017023732
1879-05-31,1.5244511715187614
1879-06-30,1.5383156809044016
1879-07-31,1.5755984706707653
1879-08-31,1.5935807032166016
1879-09-30,1.6586747552828816
1879-10-31,1.8459209237964211
1879-11-30,1.9510457259790792
1879-12-31,1.9536840569134661
1880-01-31,2.0359148306504236
1880-02-29,2.0787447414713474
1880-03-31,2.125882943541571
1880-04-30,2.085103427957912
1880-05-31,1.9276137144080019
1880-06-30,1.9434414300923446
1880-07-31,2.0406473123386126
1880-08-31,2.122110278899036
1880-09-30,2.1263694918865497
1880-10-31,2.1964958988744425
1880-11-30,2.320641187717956
1880-12-31,2.4247460062994803
1881-01-31,2.579233605017049
1881-02-28,2.58027529871859
1881-03-31,2.6191327670880016
1881-04-30,2.6205318764721297
1881-05-31,2.748503991822356
1881-06-30,2.792550530152843
1881-07-31,2.705371742705695
1881-08-31,2.6521163934398353
1881-09-30,2.684376680214876
1881-10-31,2.6525220769429927
1881-11-30,2.6810959936255085
1881-12-31,2.614682199491543
1882-01-31,2.5871286987758806
1882-02-28,2.541970483876076
1882-03-31,2.549287612499784
1882-04-30,2.561049031703935
1882-05-31,2.541848548767285
1882-06-30,2.5403646908870936
1882-07-31,2.6954104231947564
1882-08-31,2.7882523377714645
1882-09-30,2.827354042616156
1882-10-31,2.7624094786030713
1882-11-30,2.656221305345402
1882-12-31,2.6821282257073475
1883-01-31,2.68062794850347
1883-02-28,2.6330171970887846
1883-03-31,2.677924510639485
1883-04-30,2.7463590655613777
1883-05-31,2.712212823800749
1883-06-30,2.7484461695837608
1883-07-31,2.7187657844019153
1883-08-31,2.6083188899055525
1883-09-30,2.6499431135066507
1883-10-31,2.591173956180735
1883-11-30,2.642917163496538
1883-12-31,2.598142467961111
1884-01-31,2.5336065227948543
1884-02-29,2.615398482403806
1884-03-31,2.6188807642177836
1884-04-30,2.5136025810436387
1884-05-31,2.3232485173345983
1884-06-30,2.241643372281268
1884-07-31,2.2549751190188823
1884-08-31,2.4098866851641874
1884-09-30,2.3469703397445527
1884-10-31,2.283621741267824
1884-11-30,2.250691812892897
1884-12-31,2.258883986158216
1885-01-31,2.220030140635933
1885-02-28,2.3011127273172174
1885-03-31,2.3192135854411373
1885-04-30,2.3265692343127706
1885-05-31,2.312407508538693
1885-06-30,2.3139687404599663
1885-07-31,2.412142003378861
1885-08-31,2.5592186663016236
1885-09-30,2.5382767230396897
1885-10-31,2.69711007131635
1885-11-30,2.883760686651451
1885-12-31,2.8727539664733914
1886-01-31,2.8837247560601003
1886-02-28,2.9501197457561186
1886-03-31,2.899791445062009
1886-04-30,2.871543155567482
1886-05-31,2.826287373706544
1886-06-30,2.9665695657281677
1886-07-31,3.0225247183464976
1886-08-31,3.055920875608153
1886-09-30,3.146261180822826
1886-10-31,3.236828012423856
1886-11-30,3.3276167414979922
1886-12-31,3.2519455490459652
1887-01-31,3.228041250720753
1887-02-28,3.2157480828752667
1887-03-31,3.3022124285151513
1887-04-30,3.389087211687434
1887-05-31,3.4588410540831562
1887-06-30,3.370660148678918
1887-07-31,3.299947855711068
1887-08-31,3.229108187967718
1887-09-30,3.1996067790638847
1887-10-31,3.104698988142148
1887-11-30,3.17671904880458
1887-12-31,3.171224723405704
1888-01-31,3.2077459594281006
1888-02-29,3.2020422931191996
1888-03-31,3.09313444681756
1888-04-30,3.1176572794643267
1888-05-31,3.1727613624577344
1888-06-30,3.0868451940352806
1888-07-31,3.1791784227850086
1888-08-31,3.2594155669281575
1888-09-30,3.3522830422080947
1888-10-31,3.345704134812683
1888-11-30,3.288988717212735
1888-12-31,3.2382520910089125
1889-01-31,3.3132862980204227
1889-02-28,3.363254322772534
1889-03-31,3.3054814399481787
1889-04-30,3.3111444918049937
1889-05-31,3.4126628182606247
1889-06-30,3.482423547863226
1889-07-31,3.423642899006964
1889-08-31,3.480881255838947
1889-09-30,3.577167271334492
1889-10-31,3.5241438964625744
1889-11-30,3.503521128475867
1889-12-31,3.4958810512486616
1890-01-31,3.5473554902864706
1890-02-28,3.5198821670965197
1890-03-31,3.505546807393433
1890-04-30,3.5907510700731335
1890-05-31,3.7561876530789773
1890-06-30,3.741706502577783
1890-07-31,3.7271777736251215
1890-08-31,3.6520511458173948
1890-09-30,3.6036721565166716
1890-10-31,3.4535191499951434
