date,price,sma10,signal,monthly_ret_bh,monthly_ret_timing,equity_bh,equity_timing,drawdown_bh_pct,drawdown_timing_pct
1973-01-31,6.674935830605997,6.378055223124736,1.0,0.015625,0.015625,1.015625,1.015625,0.0,0.0
1973-02-28,7.619695978937923,6.636837350711308,1.0,0.1415384615384616,0.1415384615384616,1.159375,1.159375,0.0,0.0
1973-03-31,8.626070919552365,6.934642180076805,1.0,0.13207547169811318,0.13207547169811318,1.3125,1.3125,0.0,0.0
1973-04-30,9.344910162848397,7.231522787558066,1.0,0.08333333333333348,0.08333333333333348,1.4218750000000002,1.4218750000000002,0.0,0.0
1973-05-31,10.470407035209035,7.600800775971285,1.0,0.12043956043956006,0.12043956043956006,1.5931249999999997,1.5931249999999997,0.0,0.0
1973-06-30,12.32295845650338,8.14506477446685,1.0,0.17693213024715626,0.17693213024715626,1.8750000000000004,1.8750000000000004,0.0,0.0
1973-07-31,12.32295845650338,8.709867037056588,1.0,0.0,0.0,1.8750000000000004,1.8750000000000004,0.0,0.0
1973-08-31,10.98797129038218,9.141170583034206,1.0,-0.10833333333333339,-0.10833333333333339,1.6718750000000002,1.6718750000000002,-10.8333,-10.8333
1973-09-30,10.577206008498734,9.551935864917652,1.0,-0.03738317757009346,-0.03738317757009346,1.6093750000000002,1.6093750000000002,-14.1667,-14.1667
1973-10-31,10.26913204708615,9.921624618612753,1.0,-0.029126213592233108,-0.029126213592233108,1.5625000000000002,1.5625000000000002,-16.6667,-16.6667
1973-11-30,9.747460139094173,10.228877049461572,1.0,-0.050799999999999956,-0.050799999999999956,1.4831250000000002,1.4831250000000002,-20.9,-20.9
1973-12-31,10.98797129038218,10.565704580605999,0.0,0.12726506531816284,0.006005916720039028,1.6718750000000004,1.492032525235408,-10.8333,-20.4249
1974-01-31,13.266691691630596,11.02976665781382,1.0,0.2073831775700934,0.2073831775700934,2.0185937500000004,1.8014549713566577,0.0,-3.9224
1974-02-28,15.403698070629224,11.635645448591903,1.0,0.1610805789921821,0.1610805789921821,2.343750000000001,2.091634381171133,0.0,0.0
1974-03-31,17.25214183910473,12.313818928981473,1.0,0.1200000000000001,0.1200000000000001,2.625000000000001,2.342630506911669,0.0,0.0
1974-04-30,17.662907120988177,12.847813795429953,1.0,0.023809523809523725,0.023809523809523725,2.687500000000001,2.398407423742899,0.0,0.0
1974-05-31,16.738685236750424,13.289386473454655,1.0,-0.05232558139534882,-0.05232558139534882,2.546875000000001,2.272909360872631,-5.2326,-5.2326
1974-06-30,15.824732484559757,13.773062592872416,1.0,-0.05460122699386505,-0.05460122699386505,2.407812500000001,2.1488057209231437,-10.407,-10.407
1974-07-31,14.684858827333194,14.18382787475586,1.0,-0.07203114860480209,-0.07203114860480209,2.234375000000001,1.99402477671648,-16.8605,-16.8605
1974-08-31,15.917154672983532,14.7486301373456,1.0,0.08391608391608396,0.08391608391608396,2.421875000000001,2.1613555272101705,-9.8837,-9.8837
1974-09-30,15.609080711570948,15.334792194593273,1.0,-0.019354838709677358,-0.019354838709677358,2.375000000000001,2.119522839586748,-11.6279,-11.6279
1974-10-31,16.327919954866978,15.868787061041754,1.0,0.046052631578947345,0.046052631578947345,2.484375000000001,2.217132444041401,-7.5581,-7.5581
1974-11-30,18.689820325696793,16.411099924448376,1.0,0.14465408805031443,0.14465408805031443,2.843750000000001,2.5378497158209745,0.0,0.0
1974-12-31,18.89520296663851,16.760250414049302,1.0,0.010989010989010728,0.010989010989010728,2.8750000000000004,2.565738174236589,0.0,0.0
1975-01-31,18.073672402871622,16.842403470425996,1.0,-0.04347826086956508,-0.04347826086956508,2.750000000000001,2.4541843405741286,-4.3478,-4.3478
1975-02-28,18.443361156566723,16.92044887398385,1.0,0.020454545454545503,0.020454545454545503,2.806250000000001,2.504383565722236,-2.3913,-2.3913
1975-03-31,18.279055043813344,17.074485854690142,1.0,-0.008908685968819663,-0.008908685968819663,2.781250000000001,2.4820727989897438,-3.2609,-3.2609
1975-04-30,17.45752448004645,17.23776505423881,1.0,-0.0449438202247191,-0.0449438202247191,2.6562500000000004,2.370518965327283,-7.6087,-7.6087
1975-05-31,17.14945051863387,17.484224223368876,1.0,-0.017647058823529238,-0.017647058823529238,2.609375000000001,2.328686277703861,-9.2391,-9.2391
1975-06-30,16.866022474134294,17.579111003483952,0.0,-0.01652694610778438,0.004344663139834726,2.566250000000001,2.33880363513884,-10.7391,-8.8448
1975-07-31,16.944067877692145,17.712609720096076,0.0,0.004627374573794363,0.004970191610521146,2.578125000000001,2.3504279373448633,-10.3261,-8.3917
1975-08-31,16.738685236750424,17.753686248284417,0.0,-0.012121212121211977,0.005214486701150323,2.5468750000000013,2.3626842125661605,-11.413,-7.9141
1975-09-30,14.787550147804057,17.363459230495145,0.0,-0.1165644171779141,0.005198745421764794,2.250000000000001,2.3749672062993143,-21.7391,-7.4353
1975-10-31,14.684858827333194,16.942424816564614,0.0,-0.006944444444444531,0.0048359454901756305,2.234375000000001,2.3864524182499327,-22.2826,-6.9877
