date,price,sma10,signal,monthly_ret_bh,monthly_ret_timing,equity_bh,equity_timing,drawdown_bh_pct,drawdown_timing_pct
1963-01-31,2.3327635076,2.288486634,1.0,0.0015756062270657623,0.0015756062270657623,1.0015756062270658,1.0015756062270658,0.0,0.0
1963-02-28,2.3270025818,2.2944868721,1.0,-0.0024695713079541104,-0.0024695713079541104,0.9991021438471807,0.9991021438471807,-0.247,-0.247
1963-03-31,2.3327507931,2.3010718819,1.0,0.002470221277728113,0.002470221277728113,1.0015701472215357,1.0015701472215357,-0.0005,-0.0005
1963-04-30,2.3404294311,2.3095266379,1.0,0.0032916666666669148,0.0032916666666669148,1.0048669822894736,1.0048669822894736,0.0,0.0
1963-05-31,2.3462312615,2.3185400479,1.0,0.002478959740834341,0.002478959740834341,1.007358007083463,1.007358007083463,0.0,0.0
1963-06-30,2.3463618324,2.3253401428,1.0,5.5651350870933314e-05,5.5651350870933314e-05,1.0074140679173678,1.0074140679173678,0.0,0.0
1963-07-31,2.3541830385,2.331799802,1.0,0.0033333333333334103,0.0033333333333334103,1.0107721148104258,1.0107721148104258,0.0,0.0
1963-08-31,2.3582152109,2.3375380358,1.0,0.0017127692639258285,0.0017127692639258285,1.0125033342215064,1.0125033342215064,0.0,0.0
1963-09-30,2.3565848967,2.3423616327,1.0,-0.0006913339403930019,-0.0006913339403930019,1.011803356301798,1.011803356301798,-0.0691,-0.0691
1963-10-31,2.3494001623,2.3443922716,1.0,-0.003048790785969535,-0.003048790785969535,1.008718579551892,1.008718579551892,-0.3738,-0.3738
1963-11-30,2.3708111045,2.3481970313,1.0,0.009113365415119423,0.009113365415119423,1.0179114005683687,1.0179114005683687,0.0,0.0
1963-12-31,2.3674142899,2.3522382021,1.0,-0.0014327647755471018,-0.0014327647755471018,1.0164529729690066,1.0164529729690066,-0.1433,-0.1433
1964-01-31,2.373675943,2.3563307171,1.0,0.0026449334134384106,0.0026449334134384106,1.019141423400401,1.019141423400401,0.0,0.0
1964-02-29,2.376160533,2.3599038273,1.0,0.001046726687302879,0.001046726687302879,1.02020818592641,1.02020818592641,0.0,0.0
1964-03-31,2.374910535,2.3627717546,1.0,-0.0005260578963733886,-0.0005260578963733886,1.0196714973542587,1.0196714973542587,-0.0526,-0.0526
1964-04-30,2.3851874351,2.3666543149,1.0,0.00432727886007811,0.00432727886007811,1.0240839002689839,1.0240839002689839,0.0,0.0
1964-05-31,2.3993246285,2.3711684739,1.0,0.005927078592270041,0.005927078592270041,1.0301537260309566,1.0301537260309566,0.0,0.0
1964-06-30,2.4154287134,2.3768898241,1.0,0.0067119241237996174,0.0067119241237996174,1.0370680396759258,1.0370680396759258,0.0,0.0
1964-07-31,2.4160191769,2.3828332522,1.0,0.00024445494287594904,0.00024445494287594904,1.0373215560843232,1.0373215560843232,0.0,0.0
1964-08-31,2.4205765504,2.389950891,1.0,0.0018863151166503833,0.0018863151166503833,1.0392782714163924,1.0392782714163924,0.0,0.0
1964-09-30,2.4349062183,2.3963604023,1.0,0.005919939994050383,0.005919939994050383,1.045430736420298,1.045430736420298,0.0,0.0
1964-10-31,2.4473063857,2.4043496119,1.0,0.005092667346117574,0.005092667346117574,1.0507547673942932,1.0507547673942932,0.0,0.0
1964-11-30,2.4479289316,2.4117749108,1.0,0.00025438006852329664,0.00025438006852329664,1.0510220584640242,1.0510220584640242,0.0,0.0
1964-12-31,2.4545317886,2.4196120363,1.0,0.002697323781170491,0.002697323781170491,1.0538570052568539,1.0538570052568539,0.0,0.0
1965-01-31,2.4670873963,2.4288297225,1.0,0.005115276093640375,0.005115276093640375,1.0592477748019598,1.0592477748019598,0.0,0.0
1965-02-28,2.4697637757,2.4372873565,1.0,0.0010848336362798694,0.0010848336362798694,1.0603968824172196,1.0603968824172196,0.0,0.0
1965-03-31,2.482415915,2.4455964852,1.0,0.005122813527544512,0.005122813527544512,1.0658290979110325,1.0658290979110325,0.0,0.0
1965-04-30,2.4891117945,2.4529647933,1.0,0.002697323781170491,0.002697323781170491,1.0687039840834915,1.0687039840834915,0.0,0.0
1965-05-31,2.4938524837,2.460748124,1.0,0.0019045706270426344,0.0019045706270426344,1.0707394063005804,1.0707394063005804,0.0,0.0
1965-06-30,2.5086515482,2.4695556238,1.0,0.005934218078490483,0.005934218078490483,1.0770934074428016,1.0770934074428016,0.0,0.0
1965-07-31,2.5134065546,2.4774056574,1.0,0.0018954431670337168,0.0018954431670337168,1.079134976782196,1.079134976782196,0.0,0.0
1965-08-31,2.51218806,2.4838938248,1.0,-0.0004847980855259282,-0.0004847980855259282,1.078611814211428,1.078611814211428,-0.0485,-0.0485
1965-09-30,2.5051069242,2.4896116241,1.0,-0.002818712456324035,-0.002818712456324035,1.0755715176551721,1.0755715176551721,-0.3302,-0.3302
1965-10-31,2.5022418877,2.494382634,1.0,-0.0011436783378455662,-0.0011436783378455662,1.0743414098096262,1.0743414098096262,-0.4442,-0.4442
1965-11-30,2.4975644373,2.4974303381,1.0,-0.0018693038274077978,-0.0018693038274077978,1.0723331393003264,1.0723331393003264,-0.6303,-0.6303
1965-12-31,2.4735405577,2.4978080163,1.0,-0.009618922825936904,-0.009618922825936904,1.0620184495897018,1.0620184495897018,-1.5861,-1.5861
1966-01-31,2.4753692046,2.4971033453,0.0,0.0007392831626693575,0.0037468150587982585,1.0628035819479278,1.0659976363093462,-1.5134,-1.2174
1966-02-28,2.4220407655,2.4903962424,0.0,-0.02154363035908813,0.0037947872834445118,1.0399069344341267,1.0700428705837948,-3.6351,-0.8425
1966-03-31,2.4909655433,2.4901075483,0.0,0.028457315326003263,0.0037468150587982585,1.0694998939770162,1.0740521233248579,-0.8929,-0.471
1966-04-30,2.4851969604,2.4877620895,1.0,-0.0023158019539530894,-0.0023158019539530894,1.0670231440327915,1.0715648313190147,-1.1224,-0.7015
1966-05-31,2.4931792595,2.48573936,0.0,0.003211938229080058,0.003786793663815402,1.0704503564604237,1.075622626232621,-0.8048,-0.3255
1966-06-30,2.4703781113,2.4815583652,1.0,-0.00914541066483665,-0.00914541066483665,1.0606606483542724,1.0657856155953336,-1.712,-1.237
1966-07-31,2.4653862707,2.4775862998,0.0,-0.0020206787912878665,0.003914607630530531,1.0585173938773893,1.0699577480986528,-1.9106,-0.8504
1966-08-31,2.4177747749,2.4691395885,0.0,-0.01931198220938035,0.004042242847743793,1.0380753247985095,1.0742827771532928,-3.8049,-0.4496
1966-09-30,2.4919758029,2.4685807251,0.0,0.030689801533704042,0.004368495814748519,1.0699336504936112,1.0789757769691433,-0.8527,-0.0148
1966-10-31,2.5120357462,2.4724302439,1.0,0.008049814638388497,0.008049814638388497,1.0785464180554591,1.0876613319730561,-0.0545,0.0
1966-11-30,2.4935138269,2.4742447062,1.0,-0.007373270569155821,-0.007373270569155821,1.0705940034937425,1.0796417106848104,-0.7915,-0.7373
1966-12-31,2.5981724905,2.4918578787,1.0,0.04197236140611582,0.04197236140611582,1.1155293619276023,1.1249568227547904,0.0,0.0
1967-01-31,2.6328642036,2.5060477447,1.0,0.013352351821100505,0.013352351821100505,1.1304243024348275,1.1399776420357597,0.0,0.0
1967-02-28,2.6015651653,2.5176845652,1.0,-0.011887828585970817,-0.011887828585970817,1.1169860120980666,1.1264257832353994,-1.1888,-1.1888
1967-03-31,2.6570820505,2.5340748443,1.0,0.021339801873311526,0.021339801873311526,1.1408222722914996,1.1504634862746326,0.0,0.0
1967-04-30,2.6089872852,2.5479357617,1.0,-0.018100594687290417,-0.018100594687290417,1.1201727107305175,1.1296394130070484,-1.8101,-1.8101
1967-05-31,2.6132798326,2.5627251179,1.0,0.0016452925739958157,0.0016452925739958157,1.1220157225730751,1.1314980003445618,-1.6485,-1.6485
1967-06-30,2.5419223192,2.5751398723,1.0,-0.027305729985025895,-0.027305729985025895,1.091378264213541,1.1006016214685566,-4.3341,-4.3341
1967-07-31,2.5646654651,2.5824088385,0.0,0.008947223027598206,0.0034424038441494,1.1011430689509325,1.104390336721177,-3.4781,-4.0047
1967-08-31,2.5541927807,2.586624542,0.0,-0.004083450461842997,0.0034905363507504727,1.0966466057774695,1.1082452513369196,-3.8723,-3.6697
1967-09-30,2.5576382753,2.5930369868,0.0,0.0013489563659654369,0.0036107566318024364,1.0981259341975473,1.112246855227848,-3.7426,-3.3218
1967-10-31,2.5057739238,2.5837971301,0.0,-0.02027821996544643,0.00372281948566644,1.0758578949541282,1.1163875494933615,-5.6945,-2.9619
1967-11-30,2.498879347,2.5703986445,0.0,-0.0027514759967434133,0.0038587110455146068,1.0728976977802551,1.1206953664616666,-5.954,-2.5875
1967-12-31,2.518294791,2.562071607,0.0,0.007769660440348325,0.0040502141257035,1.0812337485792392,1.12523442266552,-5.2233,-2.1929
1968-01-31,2.5605683094,2.5524202329,0.0,0.016786564684280858,0.0040741237836483535,1.099383948838592,1.1298187669890813,-3.6323,-1.7945
1968-02-29,2.5685405663,2.548375561,1.0,0.0031134716960490305,0.0031134716960490305,1.1028068496463914,1.1333364257417669,-3.3323,-1.4887
1968-03-31,2.5422011176,2.5412676895,1.0,-0.010254636070769818,-0.010254636070769818,1.0914979667469156,1.121714473150038,-4.3236,-2.4989
1968-04-30,2.5581923762,2.5428946952,1.0,0.006290320041596242,0.006290320041596242,1.0983638382825052,1.1287704161814422,-3.7217,-1.8856
1968-05-31,2.5476847843,2.5411966271,1.0,-0.004107428358827492,-0.004107428358827492,1.093852387504833,1.124134072563413,-4.1172,-2.2886
1968-06-30,2.6020879274,2.5459861418,1.0,0.021353953763444178,0.021353953763444178,1.1172104608116442,1.1481387795728444,-2.0697,-0.2021
1968-07-31,2.6636060919,2.5565829235,1.0,0.02364184694582594,0.02364184694582594,1.1436233795324289,1.1752829008720729,0.0,0.0
1968-08-31,2.6695237724,2.5729579083,1.0,0.0022216800299517114,0.0022216800299517114,1.146164144756522,1.177894003422484,0.0,0.0
1968-09-30,2.6674891738,2.589818891,1.0,-0.0007621578835916853,-0.0007621578835916853,1.1452905867177057,1.1769962622217403,-0.0762,-0.0762
1968-10-31,2.6556924958,2.6035586615,1.0,-0.004422390217202143,-0.004422390217202143,1.1402256648311515,1.1717911254660074,-0.5181,-0.5181
1968-11-30,2.6345320255,2.6109550331,1.0,-0.00796796702721958,-0.00796796702721958,1.1311403843301873,1.1624543324155057,-1.3108,-1.3108
1968-12-31,2.5741118822,2.6115121647,1.0,-0.02293391870126238,-0.02293391870126238,1.105198902716244,1.1357946992619583,-3.5741,-3.5741
