label,frequency,start_date,end_date,years,cagr,volatility,sharpe,max_drawdown,calmar,pct_time_invested
Buy & Hold,monthly,2007-06-30,2026-07-31,19.1,5.19,12.78,0.356,-46.56,0.112,
Timing (GTAA),monthly,2007-06-30,2026-07-31,19.1,4.76,6.6,0.532,-10.6,0.449,63.8
Buy & Hold,weekly,2007-06-08,2026-07-03,19.1,5.37,13.9,0.348,-49.64,0.108,
Timing (GTAA),weekly,2007-06-08,2026-07-03,19.1,4.36,7.21,0.439,-14.77,0.295,64.4
Buy & Hold,daily,2007-05-31,2026-07-02,19.1,5.59,15.17,0.345,-48.62,0.115,
Timing (GTAA),daily,2007-05-31,2026-07-02,19.1,4.41,7.23,0.447,-13.44,0.328,64.1
