Date,IEF
2002-07-30,40.556907653808594
2002-07-31,40.92891311645508
2002-08-01,41.097537994384766
2002-08-02,41.41496276855469
2002-08-05,41.62328338623047
2002-08-06,41.2860107421875
2002-08-07,41.41496276855469
2002-08-08,41.271148681640625
2002-08-09,41.57860565185547
2002-08-12,41.662960052490234
2002-08-13,41.995262145996094
2002-08-14,41.87128829956055
2002-08-15,41.62825012207031
2002-08-16,41.355430603027344
2002-08-19,41.39512252807617
2002-08-20,41.77703094482422
2002-08-21,41.672889709472656
2002-08-22,41.44966506958008
2002-08-23,41.63813400268555
2002-08-26,41.65800476074219
2002-08-27,41.53400421142578
2002-08-28,41.6877555847168
2002-08-29,41.88119888305664
2002-08-30,41.960567474365234
2002-09-03,42.41840744018555
2002-09-04,42.40348815917969
2002-09-05,42.57270812988281
2002-09-06,42.244197845458984
2002-09-09,42.18452453613281
2002-09-10,42.33380889892578
2002-09-11,42.17953109741211
2002-09-12,42.39853286743164
2002-09-13,42.597618103027344
2002-09-16,42.612525939941406
2002-09-17,42.75190734863281
2002-09-18,42.801658630371094
2002-09-19,43.015628814697266
2002-09-20,43.000709533691406
2002-09-23,43.244606018066406
2002-09-24,43.39888381958008
2002-09-25,43.07041931152344
2002-09-26,43.04051208496094
2002-09-27,43.32426071166992
2002-09-30,43.57805633544922
2002-10-01,43.19767761230469
2002-10-02,43.34245300292969
2002-10-03,43.31748962402344
2002-10-04,43.36245346069336
2002-10-07,43.53213119506836
2002-10-08,43.452247619628906
2002-10-09,43.67190933227539
2002-10-10,43.42231369018555
2002-10-11,43.11286163330078
2002-10-14,43.07786560058594
2002-10-15,42.3541145324707
2002-10-16,42.3541145324707
2002-10-17,42.12948989868164
2002-10-18,42.25425720214844
2002-10-21,41.9298210144043
2002-10-22,41.909854888916016
2002-10-23,41.99971389770508
2002-10-24,42.199337005615234
2002-10-25,42.384063720703125
2002-10-28,42.43397521972656
2002-10-29,42.818321228027344
2002-10-30,42.81334686279297
2002-10-31,43.032981872558594
2002-11-01,42.77504348754883
2002-11-04,42.639793395996094
2002-11-05,42.52458572387695
2002-11-06,42.664852142333984
2002-11-07,43.08053970336914
2002-11-08,43.185752868652344
2002-11-11,43.29591369628906
2002-11-12,43.16069412231445
2002-11-13,43.210792541503906
2002-11-14,42.669830322265625
2002-11-15,42.69988250732422
2002-11-18,42.73994827270508
2002-11-19,42.77504348754883
2002-11-20,42.53959274291992
2002-11-21,42.29416275024414
2002-11-22,42.244075775146484
2002-11-25,42.178977966308594
2002-11-26,42.55961227416992
2002-11-27,42.07379150390625
2002-11-29,42.13388442993164
2002-12-02,42.118797302246094
2002-12-03,42.11371994018555
2002-12-04,42.259883880615234
2002-12-05,42.37580108642578
2002-12-06,42.54716873168945
2002-12-09,42.70845031738281
2002-12-10,42.67317581176758
2002-12-11,42.81427001953125
2002-12-12,42.84957504272461
2002-12-13,42.69330978393555
2002-12-16,42.51688766479492
2002-12-17,42.61771011352539
2002-12-18,42.87978744506836
2002-12-19,43.101539611816406
2002-12-20,43.101539611816406
2002-12-23,43.07635498046875
2002-12-24,43.237648010253906
2002-12-26,43.30319595336914
2002-12-27,43.56019973754883
2002-12-30,43.64081954956055
2002-12-31,43.62867736816406
2003-01-02,42.939937591552734
2003-01-03,43.01081466674805
