Date,EFA
2001-08-27,21.85618019104004
2001-08-28,21.606155395507812
2001-08-29,21.507497787475586
2001-08-30,21.201337814331055
2001-08-31,21.252361297607422
2001-09-04,20.76761817932129
2001-09-05,20.640058517456055
2001-09-06,20.172317504882812
2001-09-07,20.053251266479492
2001-09-10,19.823640823364258
2001-09-17,18.956193923950195
2001-09-18,18.803112030029297
2001-09-19,18.75208854675293
2001-09-20,17.935672760009766
2001-09-21,17.433917999267578
2001-09-24,18.241830825805664
2001-09-25,18.45443344116211
2001-09-26,18.54798126220703
2001-09-27,18.84052848815918
2001-09-28,19.207923889160156
2001-10-01,19.10416603088379
2001-10-02,19.171627044677734
2001-10-03,19.367509841918945
2001-10-04,19.57361602783203
2001-10-05,19.604286193847656
2001-10-08,19.48674774169922
2001-10-09,19.435644149780273
2001-10-10,19.82742691040039
2001-10-11,19.96369743347168
2001-10-12,19.938146591186523
2001-10-15,19.623018264770508
2001-10-16,19.895557403564453
2001-10-17,19.91259765625
2001-10-18,19.750768661499023
2001-10-19,19.55488395690918
2001-10-22,19.6911563873291
2001-10-23,19.847869873046875
2001-10-24,20.047161102294922
2001-10-25,20.018203735351562
2001-10-26,20.14766502380371
2001-10-29,19.726932525634766
2001-10-30,19.503786087036133
2001-10-31,19.55829429626465
2001-11-01,19.97051239013672
2001-11-02,19.968814849853516
2001-11-05,20.168100357055664
2001-11-06,20.377620697021484
2001-11-07,20.193655014038086
2001-11-08,20.338443756103516
2001-11-09,20.30437469482422
2001-11-12,20.031831741333008
2001-11-13,20.215803146362305
2001-11-14,20.23623275756836
2001-11-15,20.323108673095703
2001-11-16,20.437236785888672
2001-11-19,20.5394344329834
2001-11-20,20.398061752319336
2001-11-21,20.345256805419922
2001-11-23,20.40998649597168
2001-11-26,20.607580184936523
2001-11-27,20.447450637817383
2001-11-28,20.091447830200195
2001-11-29,20.13573455810547
2001-11-30,20.21239471435547
2001-12-03,20.040353775024414
2001-12-04,20.32481575012207
2001-12-05,20.81369400024414
2001-12-06,20.87841796875
2001-12-07,20.563291549682617
2001-12-10,20.168100357055664
2001-12-11,20.208984375
2001-12-12,20.292451858520508
2001-12-13,19.81209373474121
2001-12-14,19.926219940185547
2001-12-17,20.162988662719727
2001-12-18,20.217500686645508
2001-12-19,20.006282806396484
2001-12-20,19.90918731689453
2001-12-21,20.009687423706055
2001-12-24,19.935028076171875
2001-12-26,19.917984008789062
2001-12-27,20.182188034057617
2001-12-28,20.342424392700195
2001-12-31,20.335613250732422
2002-01-02,20.44810676574707
2002-01-03,20.632204055786133
2002-01-04,20.768566131591797
2002-01-07,20.4924259185791
2002-01-08,20.258899688720703
2002-01-09,20.04582977294922
2002-01-10,20.09355354309082
2002-01-11,19.979351043701172
2002-01-14,19.77991485595703
2002-01-15,19.764572143554688
2002-01-16,19.416837692260742
2002-01-17,19.69639015197754
2002-01-18,19.687870025634766
2002-01-22,19.457748413085938
2002-01-23,19.50889015197754
2002-01-24,19.61457061767578
2002-01-25,19.33501434326172
2002-01-28,19.515701293945312
2002-01-29,18.97364616394043
2002-01-30,19.183311462402344
2002-01-31,19.15944480895996
2002-02-01,19.116832733154297
2002-02-04,18.960010528564453
2002-02-05,18.581592559814453
2002-02-06,18.554319381713867
2002-02-07,18.76057243347168
2002-02-08,19.01285171508789
2002-02-11,19.24467658996582
2002-02-12,19.23615264892578
2002-02-13,19.261716842651367
2002-02-14,19.415136337280273
2002-02-15,19.295812606811523
2002-02-19,18.88671112060547
2002-02-20,18.971940994262695
2002-02-21,18.842395782470703
2002-02-22,18.978759765625
2002-02-25,19.217405319213867
2002-02-26,19.108304977416992
2002-02-27,19.321380615234375
2002-02-28,19.389568328857422
2002-03-01,19.75604820251465
2002-03-04,20.431062698364258
2002-03-05,20.2060604095459
2002-03-06,20.41572380065918
2002-03-07,20.732769012451172
2002-03-08,20.763442993164062
2002-03-11,20.795841217041016
2002-03-12,20.55719757080078
2002-03-13,20.335613250732422
2002-03-14,20.536741256713867
2002-03-15,20.765159606933594
2002-03-18,20.741294860839844
2002-03-19,20.84526824951172
2002-03-20,20.577653884887695
2002-03-21,20.630491256713867
2002-03-22,20.44810676574707
2002-03-25,20.195825576782227
2002-03-26,20.32366943359375
2002-03-27,20.354352951049805
2002-03-28,20.471973419189453
2002-04-01,20.586183547973633
2002-04-02,20.50606346130371
2002-04-03,20.509471893310547
2002-04-04,20.480499267578125
2002-04-05,20.480499267578125
2002-04-08,20.243553161621094
2002-04-09,20.21287727355957
2002-04-10,20.47708511352539
2002-04-11,20.02196502685547
2002-04-12,20.226511001586914
2002-04-15,20.369699478149414
2002-04-16,20.75151824951172
2002-04-17,20.778797149658203
2002-04-18,20.84526824951172
2002-04-19,20.92879295349121
2002-04-22,20.782203674316406
2002-04-23,20.727659225463867
2002-04-24,20.62537956237793
2002-04-25,20.81288719177246
2002-04-26,20.62879180908203
2002-04-29,20.574247360229492
2002-04-30,20.783905029296875
2002-05-01,20.89299774169922
2002-05-02,20.836748123168945
2002-05-03,20.978229522705078
2002-05-06,20.761743545532227
2002-05-07,20.489015579223633
2002-05-08,20.940731048583984
2002-05-09,20.838457107543945
2002-05-10,20.66629409790039
2002-05-13,20.97311019897461
2002-05-14,20.99698257446289
2002-05-15,21.085615158081055
2002-05-16,21.193002700805664
2002-05-17,21.382213592529297
2002-05-20,21.27313232421875
2002-05-21,21.240732192993164
2002-05-22,21.281648635864258
2002-05-23,21.30209732055664
2002-05-24,21.162324905395508
2002-05-28,21.119707107543945
2002-05-29,21.099252700805664
2002-05-30,21.005502700805664
2002-05-31,20.89470100402832
2002-06-03,20.855501174926758
2002-06-04,20.73617935180664
2002-06-05,20.693565368652344
2002-06-06,20.489015579223633
2002-06-07,20.32707977294922
2002-06-10,20.39356231689453
2002-06-11,20.29298973083496
2002-06-12,20.180482864379883
2002-06-13,19.841278076171875
2002-06-14,19.61285972595215
2002-06-17,19.923093795776367
2002-06-18,19.97081756591797
2002-06-19,19.43218231201172
2002-06-20,19.341835021972656
2002-06-21,19.36399269104004
2002-06-24,19.36570167541504
