Date,VNQ
2004-09-29,19.495887756347656
2004-09-30,19.65232276916504
2004-10-01,20.016040802001953
2004-10-04,20.10207748413086
2004-10-05,20.098161697387695
2004-10-06,20.192033767700195
2004-10-07,19.984752655029297
2004-10-08,20.082523345947266
2004-10-11,20.004304885864258
2004-10-12,20.070785522460938
2004-10-13,20.121633529663086
2004-10-14,20.278072357177734
2004-10-15,20.485347747802734
2004-10-18,20.5948543548584
2004-10-19,20.485347747802734
2004-10-20,20.387582778930664
2004-10-21,20.5948543548584
2004-10-22,20.430599212646484
2004-10-25,20.332822799682617
2004-10-26,20.524457931518555
2004-10-27,20.766942977905273
2004-10-28,20.778671264648438
2004-10-29,20.766942977905273
2004-11-01,20.97030258178711
2004-11-02,20.766942977905273
2004-11-03,20.97812843322754
2004-11-04,21.294910430908203
2004-11-05,20.719999313354492
2004-11-08,20.774761199951172
2004-11-09,20.85296630859375
2004-11-10,21.001585006713867
2004-11-11,21.173660278320312
2004-11-12,21.588228225708008
2004-11-15,21.861988067626953
2004-11-16,21.729021072387695
2004-11-17,21.224510192871094
2004-11-18,21.18931007385254
2004-11-19,20.97030258178711
2004-11-22,21.114999771118164
2004-11-23,21.204952239990234
2004-11-24,21.57257652282715
2004-11-26,21.549108505249023
2004-11-29,21.470903396606445
2004-11-30,21.588228225708008
2004-12-01,22.00667953491211
2004-12-02,21.818971633911133
2004-12-03,22.112285614013672
2004-12-06,22.21788215637207
2004-12-07,21.936294555664062
2004-12-08,21.994966506958008
2004-12-09,22.155298233032227
2004-12-10,22.343032836914062
2004-12-13,22.28045654296875
2004-12-14,22.260906219482422
2004-12-15,22.30391502380371
2004-12-16,22.100549697875977
2004-12-17,22.350852966308594
2004-12-20,22.27263832092285
2004-12-21,22.526838302612305
2004-12-22,22.69480323791504
2004-12-23,22.522844314575195
2004-12-27,22.354887008666992
2004-12-28,22.438858032226562
2004-12-29,22.566835403442383
2004-12-30,22.674808502197266
2004-12-31,22.61481285095215
2005-01-03,22.35087776184082
2005-01-04,22.014955520629883
2005-01-05,21.283130645751953
2005-01-06,21.44708824157715
2005-01-07,21.399099349975586
2005-01-10,21.331111907958984
2005-01-11,21.11516761779785
2005-01-12,21.015188217163086
2005-01-13,21.015188217163086
2005-01-14,21.27513313293457
2005-01-18,21.483078002929688
2005-01-19,21.503080368041992
2005-01-20,21.435100555419922
2005-01-21,21.45508575439453
2005-01-24,21.283130645751953
2005-01-25,20.88321304321289
2005-01-26,20.819238662719727
2005-01-27,20.67127227783203
2005-01-28,20.703264236450195
2005-01-31,20.67926025390625
2005-02-01,20.831226348876953
2005-02-02,21.063175201416016
2005-02-03,21.127161026000977
2005-02-04,21.41508674621582
2005-02-07,21.343111038208008
2005-02-08,21.39510726928711
2005-02-09,21.531068801879883
2005-02-10,21.695032119750977
2005-02-11,21.75901985168457
2005-02-14,21.763023376464844
2005-02-15,21.858991622924805
2005-02-16,21.986967086791992
2005-02-17,21.97097396850586
2005-02-18,21.779020309448242
2005-02-22,21.15515899658203
2005-02-23,21.075180053710938
2005-02-24,21.091176986694336
2005-02-25,21.39510726928711
2005-02-28,21.335105895996094
2005-03-01,21.559066772460938
2005-03-02,21.41508674621582
2005-03-03,21.531068801879883
2005-03-04,21.93497085571289
2005-03-07,22.038959503173828
2005-03-08,21.914974212646484
2005-03-09,21.29511070251465
2005-03-10,21.4390869140625
2005-03-11,21.19915008544922
2005-03-14,21.495088577270508
2005-03-15,21.467086791992188
2005-03-16,21.21114158630371
2005-03-17,21.435100555419922
2005-03-18,21.35910987854004
2005-03-21,21.215139389038086
2005-03-22,20.835237503051758
2005-03-23,20.799230575561523
2005-03-24,20.841327667236328
2005-03-28,20.736103057861328
2005-03-29,20.74419593811035
2005-03-30,21.01938819885254
2005-03-31,20.970827102661133
2005-04-01,20.98297119140625
2005-04-04,20.8898868560791
2005-04-05,20.841327667236328
2005-04-06,20.950590133666992
2005-04-07,21.140790939331055
2005-04-08,21.043663024902344
2005-04-11,21.06389808654785
2005-04-12,21.347179412841797
2005-04-13,21.371463775634766
2005-04-14,21.169116973876953
2005-04-15,21.32695770263672
2005-04-18,21.294578552246094
2005-04-19,21.399799346923828
2005-04-20,21.347179412841797
2005-04-21,21.3431453704834
2005-04-22,21.50905990600586
2005-04-25,21.7437744140625
2005-04-26,21.772106170654297
2005-04-27,21.94206428527832
2005-04-28,21.889453887939453
2005-04-29,22.18083381652832
2005-05-02,22.164642333984375
2005-05-03,22.197019577026367
2005-05-04,22.217256546020508
2005-05-05,22.500545501708984
2005-05-06,22.217256546020508
2005-05-09,22.60171127319336
2005-05-10,22.60171127319336
2005-05-11,22.613845825195312
2005-05-12,22.387229919433594
2005-05-13,22.379125595092773
2005-05-16,22.484357833862305
2005-05-17,22.682649612426758
2005-05-18,22.90523338317871
2005-05-19,23.208740234375
2005-05-20,23.25731086730957
2005-05-23,23.309911727905273
2005-05-24,22.986162185668945
2005-05-25,22.70288848876953
2005-05-26,22.605756759643555
2005-05-27,22.723106384277344
2005-05-31,22.961875915527344
2005-06-01,23.224924087524414
2005-06-02,23.14398765563965
2005-06-03,23.148035049438477
2005-06-06,23.322050094604492
2005-06-07,23.520339965820312
2005-06-08,23.617467880249023
2005-06-09,23.641742706298828
2005-06-10,23.593198776245117
2005-06-13,23.70246124267578
2005-06-14,23.896699905395508
2005-06-15,23.94932746887207
2005-06-16,23.973594665527344
2005-06-17,24.24474334716797
2005-06-20,24.224496841430664
2005-06-21,24.018117904663086
2005-06-22,23.9816837310791
2005-06-23,23.896699905395508
2005-06-24,23.8481502532959
2005-06-27,23.817033767700195
2005-06-28,23.935688018798828
2005-06-29,24.013439178466797
2005-06-30,24.017526626586914
2005-07-01,24.22211265563965
2005-07-05,24.52898597717285
2005-07-06,24.467605590820312
2005-07-07,24.492145538330078
2005-07-08,24.909494400024414
2005-07-11,25.212270736694336
2005-07-12,25.208173751831055
2005-07-13,25.06088638305664
2005-07-14,24.64354133605957
