Date,SPY
1993-01-29,24.113265991210938
1993-02-01,24.284761428833008
1993-02-02,24.336231231689453
1993-02-03,24.593477249145508
1993-02-04,24.696372985839844
1993-02-05,24.679201126098633
1993-02-08,24.679201126098633
1993-02-09,24.507715225219727
1993-02-10,24.542024612426758
1993-02-11,24.662065505981445
1993-02-12,24.473426818847656
1993-02-16,23.856008529663086
1993-02-17,23.838848114013672
1993-02-18,23.82170295715332
1993-02-19,23.90745735168457
1993-02-22,23.993209838867188
1993-02-23,23.976045608520508
1993-02-24,24.284761428833008
1993-02-25,24.336231231689453
1993-02-26,24.370508193969727
1993-03-01,24.301916122436523
1993-03-02,24.662065505981445
1993-03-03,24.764963150024414
1993-03-04,24.627775192260742
1993-03-05,24.559162139892578
1993-03-08,25.10797691345215
1993-03-09,25.022228240966797
1993-03-10,25.073678970336914
1993-03-11,25.00506591796875
1993-03-12,24.74781036376953
1993-03-15,24.86786651611328
1993-03-16,24.86786651611328
1993-03-17,24.713518142700195
1993-03-18,24.86786651611328
1993-03-19,24.830238342285156
1993-03-22,24.6923770904541
1993-03-23,24.74408531188965
1993-03-24,24.74408531188965
1993-03-25,24.8991756439209
1993-03-26,24.761310577392578
1993-03-29,24.86469268798828
1993-03-30,24.933610916137695
1993-03-31,24.91639518737793
1993-04-01,24.830238342285156
1993-04-02,24.313302993774414
1993-04-05,24.433929443359375
1993-04-06,24.365009307861328
1993-04-07,24.451160430908203
1993-04-08,24.416696548461914
1993-04-12,24.761310577392578
1993-04-13,24.813018798828125
1993-04-14,24.778539657592773
1993-04-15,24.778539657592773
1993-04-16,24.778539657592773
1993-04-19,24.675148010253906
1993-04-20,24.55453872680664
1993-04-21,24.53731346130371
1993-04-22,24.22714614868164
1993-04-23,24.123754501342773
1993-04-26,23.934206008911133
1993-04-27,24.192689895629883
1993-04-28,24.140989303588867
1993-04-29,24.244384765625
1993-04-30,24.278841018676758
1993-05-03,24.433929443359375
1993-05-04,24.52008056640625
1993-05-05,24.589012145996094
1993-05-06,24.50284767150879
1993-05-07,24.451160430908203
1993-05-10,24.50284767150879
1993-05-11,24.606233596801758
1993-05-12,24.571773529052734
1993-05-13,24.278841018676758
1993-05-14,24.261598587036133
1993-05-17,24.34775161743164
1993-05-18,24.330530166625977
1993-05-19,24.830238342285156
1993-05-20,24.8991756439209
1993-05-21,24.675148010253906
1993-05-24,24.778539657592773
1993-05-25,24.830238342285156
1993-05-26,25.140399932861328
1993-05-27,25.054244995117188
1993-05-28,24.933610916137695
1993-06-01,25.174867630004883
1993-06-02,25.140399932861328
1993-06-03,25.054244995117188
1993-06-04,24.968090057373047
1993-06-07,24.88192367553711
1993-06-08,24.657928466796875
1993-06-09,24.74408531188965
1993-06-10,24.761310577392578
1993-06-11,24.86469268798828
1993-06-14,24.830238342285156
1993-06-15,24.778539657592773
1993-06-16,24.830238342285156
1993-06-17,24.91639518737793
1993-06-18,24.711206436157227
1993-06-21,24.763275146484375
1993-06-22,24.780624389648438
