Date,BIL
2007-05-30,70.79530334472656
2007-05-31,70.79530334472656
2007-06-01,70.81076049804688
2007-06-04,70.82617950439453
2007-06-05,70.82617950439453
2007-06-06,70.85713195800781
2007-06-07,70.84166717529297
2007-06-08,70.85713195800781
2007-06-11,70.88804626464844
2007-06-12,70.82617950439453
2007-06-13,70.88804626464844
2007-06-14,70.91895294189453
2007-06-15,70.98077392578125
2007-06-18,70.9962387084961
2007-06-19,70.9962387084961
2007-06-20,71.01167297363281
2007-06-21,71.01167297363281
2007-06-22,71.0735092163086
2007-06-25,71.0426254272461
2007-06-26,71.05804443359375
2007-06-27,71.0426254272461
2007-06-28,71.0735092163086
2007-06-29,71.10446166992188
2007-07-02,71.12464904785156
2007-07-03,71.12464904785156
2007-07-05,71.12464904785156
2007-07-06,71.15569305419922
2007-07-09,71.17119598388672
2007-07-10,71.18677520751953
2007-07-11,71.18677520751953
2007-07-12,71.20228576660156
2007-07-13,71.2177734375
2007-07-16,71.23331451416016
2007-07-17,71.26438903808594
2007-07-18,71.24885559082031
2007-07-19,71.26438903808594
2007-07-20,71.29539489746094
2007-07-23,71.29539489746094
2007-07-24,71.29539489746094
2007-07-25,71.31095886230469
2007-07-26,71.3265151977539
2007-07-27,71.35752868652344
2007-07-30,71.29539489746094
2007-07-31,71.38858795166016
2007-08-01,71.3652114868164
2007-08-02,71.38082122802734
2007-08-03,71.34962463378906
2007-08-06,71.42755889892578
2007-08-07,71.44316864013672
2007-08-08,71.41197204589844
2007-08-09,71.47431945800781
2007-08-10,71.52108001708984
2007-08-13,71.53666687011719
2007-08-14,71.52108001708984
2007-08-15,71.53666687011719
2007-08-16,71.63019561767578
2007-08-17,71.67696380615234
2007-08-20,71.73932647705078
2007-08-21,71.7237548828125
2007-08-22,71.7237548828125
2007-08-23,71.67696380615234
2007-08-24,71.66138458251953
2007-08-27,71.5678482055664
2007-08-28,71.64579010009766
2007-08-29,71.69255828857422
2007-08-30,71.70816040039062
2007-08-31,71.69255828857422
2007-09-04,71.70352935791016
2007-09-05,71.71917724609375
2007-09-06,71.71917724609375
2007-09-07,71.76611328125
2007-09-10,71.78173828125
2007-09-11,71.70352935791016
2007-09-12,71.81304931640625
2007-09-13,71.79736328125
2007-09-14,71.84439849853516
2007-09-17,71.87564849853516
2007-09-18,71.8287353515625
2007-09-19,71.85993957519531
2007-09-20,71.81304931640625
2007-09-21,71.84439849853516
2007-09-24,71.90692901611328
2007-09-25,71.92259216308594
2007-09-26,71.84439849853516
2007-09-27,71.85993957519531
2007-09-28,71.8287353515625
2007-10-01,71.90724182128906
2007-10-02,71.86006927490234
2007-10-03,71.87581634521484
2007-10-04,71.9543228149414
2007-10-05,71.87581634521484
2007-10-08,71.9857406616211
2007-10-09,71.93864440917969
2007-10-10,72.00147247314453
2007-10-11,71.9857406616211
2007-10-12,72.00147247314453
2007-10-15,71.97005462646484
2007-10-16,72.01715087890625
2007-10-17,72.04853057861328
2007-10-18,72.04853057861328
2007-10-19,72.11132049560547
2007-10-22,72.07996368408203
2007-10-23,72.07996368408203
2007-10-24,72.11132049560547
2007-10-25,72.09569549560547
2007-10-26,72.06426239013672
2007-10-29,72.12705993652344
2007-10-30,72.09569549560547
2007-10-31,72.11132049560547
2007-11-01,72.16020965576172
2007-11-02,72.2074966430664
2007-11-05,72.2074966430664
2007-11-06,72.2074966430664
2007-11-07,72.25475311279297
2007-11-08,72.2074966430664
2007-11-09,72.27050018310547
2007-11-12,72.30203247070312
2007-11-13,72.28624725341797
2007-11-14,72.25475311279297
2007-11-15,72.30203247070312
2007-11-16,72.30203247070312
2007-11-19,72.33354187011719
2007-11-20,72.34922790527344
2007-11-21,72.38079833984375
2007-11-23,72.39653778076172
2007-11-26,72.34922790527344
2007-11-27,72.41230010986328
2007-11-28,72.42807006835938
2007-11-29,72.38079833984375
2007-11-30,72.39653778076172
2007-12-03,72.37915802001953
2007-12-04,72.39496612548828
2007-12-05,72.39496612548828
2007-12-06,72.41077423095703
2007-12-07,72.47401428222656
2007-12-10,72.42658996582031
2007-12-11,72.5213851928711
2007-12-12,72.50558471679688
2007-12-13,72.53717803955078
2007-12-14,72.4897689819336
2007-12-17,72.5213851928711
2007-12-18,72.5213851928711
2007-12-19,72.55298614501953
2007-12-20,72.5846176147461
2007-12-21,72.5846176147461
2007-12-24,72.5846176147461
2007-12-26,72.55298614501953
2007-12-27,72.5846176147461
2007-12-28,72.58301544189453
2007-12-31,72.56719207763672
2008-01-02,72.63057708740234
2008-01-03,72.58301544189453
2008-01-04,72.56719207763672
2008-01-07,72.63057708740234
2008-01-08,72.58301544189453
