Date,SPY,EFA,IEF,GSG,VNQ,TLT,BTC,GLD,BIL
1880-04-30,0.0013946110416351385,,,,,,,,
1880-05-31,0.0012892748312027548,,,,,,,,
1880-06-30,0.001299861119998445,,,,,,,,
1880-07-31,0.0013648767901445046,,,,,,,,
1880-08-31,0.0014193628895514709,,,,,,,,
1880-09-30,0.0014222116429425098,,,,,,,,
1880-10-31,0.0014691153409481749,,,,,,,,
1880-11-30,0.0015521492990083323,,,,,,,,
1880-12-31,0.001621779288357785,,,,,,,,
1881-01-31,0.0017251075492384573,,,,,,,,
1881-02-28,0.00172580428088193,,,,,,,,
1881-03-31,0.001751793905047021,,,,,,,,
1881-04-30,0.0017527296923894606,,,,,,,,
1881-05-31,0.0018383232042967434,,,,,,,,
1881-06-30,0.0018677835120579091,,,,,,,,
1881-07-31,0.0018094744143220586,,,,,,,,
1881-08-31,0.001773854839236979,,,,,,,,
1881-09-30,0.0017954319713540414,,,,,,,,
1881-10-31,0.0017741261786273067,,,,,,,,
1881-11-30,0.001793237700470243,,,,,,,,
1881-12-31,0.0017488171650789498,,,,,,,,
1882-01-31,0.001730388143372627,,,,,,,,
1882-02-28,0.0017001842962754694,,,,,,,,
1882-03-31,0.0017050783213079263,,,,,,,,
1882-04-30,0.0017129448879575591,,,,,,,,
1882-05-31,0.001700102740585328,,,,,,,,
1882-06-30,0.0016991102696334393,,,,,,,,
1882-07-31,0.001802811835385715,,,,,,,,
1882-08-31,0.0018649086874934447,,,,,,,,
1882-09-30,0.0018910616680084555,,,,,,,,
1882-10-31,0.0018476238198650988,,,,,,,,
1882-11-30,0.0017766003891179502,,,,,,,,
1882-12-31,0.0017939281037565073,,,,,,,,
1883-01-31,0.0017929246508217574,,,,,,,,
1883-02-28,0.0017610804368930057,,,,,,,,
1883-03-31,0.0017911164698725848,,,,,,,,
1883-04-30,0.0018368885810512272,,,,,,,,
1883-05-31,0.001814050037336226,,,,,,,,
1883-06-30,0.0018382845301804784,,,,,,,,
1883-07-31,0.00181843295239322,,,,,,,,
1883-08-31,0.0017445610971587812,,,,,,,,
1883-09-30,0.0017724012517790408,,,,,,,,
1883-10-31,0.0017330937936379433,,,,,,,,
1883-11-30,0.001767701980111891,,,,,,,,
1883-12-31,0.0017377546480312406,,,,,,,,
