Date,SPY,IEF,TLT,GLD,BTC,BIL
1987-03-31,20058.33121644068,5.251701554836791,4.442337753563417,408.91,,6.756582927304891
1987-04-30,19886.89248809503,5.040406580643409,4.193617965881203,438.0,,6.787546390378598
1987-05-31,19921.606904640095,4.982260224081879,4.134587542953462,460.0,,6.818759317564854
1987-06-30,20818.113669874845,5.05366148730128,4.215333131300329,450.0,,6.850169803274002
1987-07-31,21468.34397759638,4.996777632203853,4.111372643659921,451.0,,6.881833512510383
1987-08-31,22854.182523346102,4.923827186262643,4.031088538804159,461.15,,6.915548610757114
1987-09-30,22161.873320921124,4.767199867576794,3.846065706425128,460.0,,6.951391909098267
1987-10-31,19535.119958919153,5.035942455633485,4.141496417530395,465.0,,6.985941658846314
1987-11-30,17131.923724144195,5.037642578058474,4.141799197730028,468.0,,7.018232949687355
1987-12-31,16903.55634633834,5.127498025633042,4.231549443065148,486.0,,7.0511180863805825
1988-01-31,17621.64578059439,5.3589678229394915,4.481511557737195,477.0,,7.0843805300128455
1988-02-29,18208.467278504555,5.431555871446204,4.536106855645593,442.07,,7.116958466269233
1988-03-31,18797.250049375736,5.322866360317401,4.390727326834597,444.0,,7.149911731317046
1988-04-30,18631.252067143974,5.25782475285989,4.30667897108662,452.0,,7.184205737847716
1988-05-31,18224.102391016495,5.186329079742409,4.248823259808448,451.0,,7.220649183810768
1988-06-30,19317.773874803803,5.353551426445227,4.442969769642908,451.0,,7.25841480563395
1988-07-31,19258.939645088,5.2903845000860805,4.341224949298661,438.0,,7.297918228033193
1988-08-31,18928.43478231649,5.2869366576880585,4.337687267169301,431.28,,7.33952458302624
1988-09-30,19293.676290282692,5.457336507974095,4.508695572314436,413.0,,7.382401536337995
1988-10-31,20027.68788671182,5.575922284757866,4.6402224799388305,407.0,,7.426163395174418
1988-11-30,19623.62049952378,5.469824001294201,4.5250824546208515,420.0,,7.472558078740558
1988-12-31,20080.72051577191,5.4832109029552525,4.567906679416567,419.0,,7.521042829028198
1989-01-31,20786.470873862167,5.570699591620705,4.665472197870602,404.0,,7.571008606291268
1989-02-28,21472.899464403457,5.503258624832184,4.574108757750282,388.0,,7.622829806211835
1989-03-31,21438.876361227147,5.55297187679579,4.620649801058318,390.0,,7.676712630810029
1989-04-30,22203.597369940893,5.695691861620989,4.751911949234297,384.0,,7.729969158289164
1989-05-31,23117.994955939015,5.89472628924875,4.941664502066643,371.0,,7.782280543160429
1989-06-30,23903.385689323193,6.133778611997547,5.233120281097511,368.0,,7.833257916161424
1989-07-31,24573.050325273383,6.291351807414894,5.361661137191501,375.0,,7.882926993174606
1989-08-31,25726.472708331483,6.148817681881752,5.222649769942562,365.0,,7.933033558816143
1989-09-30,25844.80013257422,6.170797957459532,5.240733623794992,362.0,,7.982533161244845
1989-10-31,25919.19602319482,6.3755626810012584,5.453944563916642,367.0,,8.031657966284518
1989-11-30,25449.925397958817,6.452113854356684,5.5120895455837235,394.0,,8.081397833585228
1989-12-31,26147.26731815666,6.455180052519742,5.503993957825572,409.39,,8.131068102761231
1990-01-31,25569.592225991804,6.285486772639646,5.288651930210416,410.0,,8.181106997338171
1990-02-28,24923.96572581056,6.296664325299029,5.286824721494818,417.0,,8.232090829205745
1990-03-31,25599.26478204223,6.283864039160669,5.27249895159696,393.0,,8.284416798970256
1990-04-30,25650.17123624291,6.172195468197616,5.131207276194593,374.24,,8.336237852053445
1990-05-31,26638.67709239474,6.396041050630837,5.374772891305654,369.0,,8.388188443727103
1990-06-30,27483.788013998335,6.51344255067811,5.500286043038529,352.33,,8.440397499266222
1990-07-31,27530.8583573956,6.589302649649821,5.548253963916914,363.0,,8.492208514279106
1990-08-31,25366.955805485155,6.422542343856052,5.312001940760473,395.0,,8.543212011385073
1990-09-30,24266.0593233751,6.486580579852161,5.368405808725911,389.0,,8.59392170399973
1990-10-31,23704.73343755525,6.606125937043396,5.496560239152019,381.0,,8.643656412316096
1990-11-30,24412.595766184477,6.824574275745915,5.737347192340289,382.0,,8.692934990931475
1990-12-31,25532.800115346432,6.953677577869387,5.8625289595998105,377.0,,8.740313930305808
1991-01-31,25357.96483287346,7.023797251425257,5.931549280026536,384.0,,8.784375454967021
1991-02-28,28301.249582601333,7.0755069371164385,5.982065860890056,364.0,,8.826717364380283
1991-03-31,29162.89370152542,7.108583826230944,5.998369743091207,363.34,,8.869054041295128
1991-04-30,29821.764010006264,7.170567408974291,6.0611649461777395,358.0,,8.909768628230582
1991-05-31,29768.48467849871,7.199296689671874,6.071921282467833,357.0,,8.949327613704336
1991-06-30,29871.850207059066,7.161635666342324,6.017959903611211,366.72,,8.989843202478198
1991-07-31,30105.28071098244,7.229862045621521,6.091179364848039,368.0,,9.030613495203468
1991-08-31,30912.06747555313,7.465079977185514,6.328406126947614,356.0,,9.069776715075008
1991-09-30,30818.659156610567,7.693281951518616,6.545871736410062,348.74,,9.108316646815238
1991-10-31,30874.462924061136,7.741172631666818,6.549738945574876,359.0,,9.145352470387998
1991-11-30,30879.16269809711,7.837446380430127,6.599486177361125,360.0,,9.179398966768046
1991-12-31,31167.748018365044,8.259189184974836,7.037504388694591,362.0,,9.2099663267418
1992-01-31,33461.34642212571,7.962457278634753,6.769599241287704,354.0,,9.238635265072316
1992-02-29,33260.56333177312,8.03305529806224,6.808884075164733,354.0,,9.267690996163456
1992-03-31,32924.109439883614,7.933134601686554,6.720458276520912,344.0,,9.2983289661594
1992-04-30,33011.129007744006,7.945054569925734,6.7056664710616865,339.0,,9.326898469678513
1992-05-31,33693.91485109244,8.149312106891697,6.911560763339024,337.0,,9.35465353549042
1992-06-30,33246.0814240318,8.30713521879524,7.02395505838101,341.0,,9.382717510965284
1992-07-31,33881.948934400854,8.604747877292446,7.330779790219966,353.0,,9.40745441477298
1992-08-31,34201.18116607173,8.714445629973849,7.421481515106082,343.0,,9.431647059348789
1992-09-30,34330.75279332896,8.920077929033503,7.552413190083808,345.0,,9.454219305342338
1992-10-31,33924.8532511716,8.695606607106157,7.357726237618856,344.38,,9.476461783974308
1992-11-30,34860.1052565596,8.653061564187546,7.385890679687129,335.02,,9.500831891090206
1992-12-31,36000.49501618821,8.857229781872707,7.593299209770456,334.82,,9.525957105517904
1993-01-31,36052.0977365737,9.105057981579192,7.824293957039284,329.0,,9.549450685579504
1993-02-28,36673.95562649499,9.394398267687835,8.147629450501704,329.0,,9.572459877878115
1993-03-31,37462.732122876485,9.441605118982968,8.17580006583092,330.0,,9.59567986946649
1993-04-30,36960.16996536048,9.47518385089744,8.204194170113468,342.0,,9.618333075479864
1993-05-31,37228.12243887989,9.446822316615162,8.200412142748883,367.0,,9.641742383450833
1993-06-30,37550.30630217276,9.74795576081994,8.53688571924292,372.0,,9.6660687508947
1993-07-31,37573.21339137792,9.773372750334604,8.643079617440566,392.0,,9.690221417520938
1993-08-31,38235.4284321092,10.101396969175989,9.133207929622026,379.0,,9.714277290112223
1993-09-30,38753.50769638502,10.185527528717698,9.23168883772338,355.0,,9.737841289318403
1993-10-31,39234.93083332404,10.208252499317584,9.106871094898631,364.0,,9.762015377739797
1993-11-30,39238.03196315926,9.951560231351884,8.811260021024356,373.83,,9.786882544029616
1993-12-31,39586.285143501555,9.999908228142536,8.839245737012348,383.0,,9.81149577259188
1994-01-31,40273.76214786092,10.145543310666612,9.075122769688388,387.0,,9.835534400253389
1994-02-28,40243.582441358405,9.860203130613318,8.672192819840543,382.0,,9.861783560695107
1994-03-31,39670.89493446622,9.47704579033456,8.288241771931204,384.0,,9.890095742487318
1994-04-30,38343.66567539575,9.338041113251736,8.159964239675302,377.0,,9.919925523357987
1994-05-31,38749.74446835328,9.32139973477482,8.094810234393515,381.43,,9.95351654514905
1994-06-30,39179.43779800901,9.267530291443355,8.00830018576281,386.0,,9.987221313433704
1994-07-31,38976.360770089115,9.466615394687796,8.297411516119624,385.49,,10.02256252897052
1994-08-31,40177.858466402344,9.476647704371146,8.231476506628173,380.0,,10.059233084994812
1994-09-30,40506.44268141492,9.25533044690935,7.976246155386469,391.58,,10.097164484603496
1994-10-31,40327.26583493067,9.195093077602449,7.94372348874854,390.0,,10.13789918118951
1994-11-30,40178.70607454148,9.192987714575493,7.989535862040286,384.0,,10.181542109115323
1994-12-31,39767.12294307574,9.297077839543366,8.106124151513127,379.0,,10.22787837470534
1995-01-31,40741.95721778847,9.510266189772578,8.329790289285256,379.0,,10.275316968635774
1995-02-28,42297.930729874606,9.821704331327677,8.578086693194042,377.0,,10.323463732287284
1995-03-31,43379.91060427809,9.894468299153353,8.66714489298489,382.12,,10.371509171595587
1995-04-30,44775.35197376259,10.043884026834611,8.828273251798228,391.0,,10.419120981136114
1995-05-31,46274.789100534246,10.663733382494495,9.55057174768018,385.0,,10.46711646468938
1995-06-30,47745.98951255559,10.789656928492404,9.68731063053571,387.56,,10.513673080494474
1995-07-31,49440.359104231335,10.658919275196096,9.492363414261677,386.23,,10.560019486980256
1995-08-31,49694.56695383371,10.847819097283985,9.711227770887756,384.0,,10.60640249574984
1995-09-30,51542.56264564473,10.991709511361426,9.89299203264816,383.0,,10.65197798580114
1995-10-31,52013.44278799635,11.16132057988919,10.167115548073363,383.0,,10.697749312781523
1995-11-30,53240.640716490096,11.441722817287843,10.450787267194876,385.0,,10.744397407948544
1995-12-31,55045.560987283076,11.65127867814526,10.732309905956145,387.0,,10.789369366775032
1996-01-31,55135.824977103526,11.687976485314188,10.712620872113924,399.45,,10.833326593122775
1996-02-29,58392.03431271103,11.289608410851931,10.18064103688069,405.0,,10.875994222274246
1996-03-31,58275.61702596201,11.175574872532994,9.952310414827483,396.0,,10.919957632131336
1996-04-30,58390.87003413507,10.979491565214504,9.76764339257463,392.85,,10.964011699147408
1996-05-31,59766.29876553685,10.89289609511794,9.71277828199552,392.0,,11.008855165681158
1996-06-30,60530.89366036537,11.048039628835024,9.914520025788883,385.0,,11.05449584480335
1996-07-31,58427.47906091843,11.055177653904805,9.930816689844963,383.47,,11.100853737848512
1996-08-31,60225.54654512555,10.99336379026089,9.773163133177803,387.0,,11.146522198336784
1996-09-30,61445.331676028094,11.244840781992478,10.069608619356528,383.0,,11.192733619536018
1996-10-31,63977.1777301773,11.5924141389479,10.466106569424234,381.0,,11.238245004757236
1996-11-30,67209.96515162133,11.917653579972727,10.86051962672622,378.0,,11.284299638246274
1996-12-31,68015.90247303703,11.659877565215425,10.58999151323647,369.0,,11.329463648435008
1997-01-31,70231.95422234952,11.638653152317891,10.501947499879693,355.0,,11.375892098405192
1997-02-28,73295.29258855247,11.676956697483666,10.505964151844625,347.0,,11.42232953969631
1997-03-31,72838.56833019746,11.44450960269005,10.227407724704197,352.0,,11.470139064442831
1997-04-30,70358.4907528394,11.673360056254564,10.472398330988954,344.0,,11.518331270060964
1997-05-31,76844.27374644564,11.780357814036288,10.600541158221423,343.84,,11.565717216126004
1997-06-30,80945.57439625073,11.981267032753758,10.80987270956449,341.0,,11.612192024863466
