Date,SPY,EFA,IEF,GSG,VNQ,TLT,BTC,BIL
2009-02-25,56.070281982421875,20.685100555419922,62.5079231262207,23.559999465942383,12.613852500915527,61.81694030761719,,73.57850646972656
2009-02-26,55.158485412597656,20.5135555267334,62.348445892333984,24.190000534057617,11.966360092163086,61.16631317138672,,73.59458923339844
2009-02-27,53.925785064697266,20.5135555267334,62.2952766418457,24.079999923706055,11.808185577392578,60.814117431640625,,73.64274597167969
2009-03-02,51.496822357177734,19.33645248413086,62.920265197753906,22.479999542236328,11.071723937988281,61.82090759277344,,73.68610382080078
2009-03-03,51.11023712158203,19.259557723999023,62.840274810791016,22.93000030517578,11.116209983825684,61.407867431640625,,73.6700439453125
2009-03-04,52.32107925415039,20.117244720458984,62.52045440673828,24.030000686645508,11.294145584106445,61.12661361694336,,73.6700439453125
2009-03-05,50.183868408203125,19.30687713623047,63.253448486328125,23.68000030517578,10.597225189208984,62.82654571533203,,73.68610382080078
2009-03-06,50.271392822265625,19.271387100219727,62.95362091064453,24.170000076293945,10.453883171081543,62.40753173828125,,73.6700439453125
2009-03-09,49.68058776855469,18.750856399536133,62.980262756347656,24.31999969482422,10.68619155883789,62.04237747192383,,73.6700439453125
2009-03-10,52.64201354980469,20.010772705078125,62.52045440673828,24.100000381469727,12.173954963684082,60.85121536254883,,73.6700439453125
2009-03-11,52.984825134277344,20.123159408569336,62.96694564819336,23.100000381469727,11.97624683380127,61.50965881347656,,73.6700439453125
2009-03-12,55.07096481323242,20.57862663269043,63.1468391418457,24.389999389648438,12.95490550994873,61.802982330322266,,73.63792419433594
2009-03-13,55.501312255859375,20.71466636657715,63.100196838378906,24.049999237060547,12.678115844726562,61.491729736328125,,73.62187957763672
2009-03-16,55.33354949951172,20.939451217651367,62.740394592285156,24.360000610351562,11.679675102233887,60.52203369140625,,73.60584259033203
2009-03-17,57.02578353881836,21.48954963684082,62.62043762207031,25.010000228881836,12.56442928314209,60.19276809692383,,73.65398406982422
2009-03-18,58.30226516723633,22.104713439941406,64.76599884033203,25.270000457763672,13.251469612121582,62.47342300415039,,73.6700439453125
2009-03-19,57.58014678955078,22.0928897857666,64.54605865478516,25.979999542236328,12.440860748291016,62.551212310791016,,73.62187957763672
2009-03-20,56.35404968261719,21.785308837890625,64.54605865478516,26.389999389648438,11.368287086486816,62.20401382446289,,73.65398406982422
2009-03-23,60.40192413330078,23.352806091308594,64.3261947631836,27.09000015258789,13.206989288330078,61.66532897949219,,73.6700439453125
2009-03-24,59.211795806884766,22.619333267211914,64.23290252685547,26.829999923706055,12.188777923583984,62.25189971923828,,73.65398406982422
2009-03-25,59.836246490478516,22.968318939208984,63.8464469909668,26.389999389648438,12.389391899108887,61.413909912109375,,73.68610382080078
2009-03-26,61.05571746826172,23.275901794433594,64.0130386352539,26.700000762939453,12.666617393493652,62.1262092590332,,73.6700439453125
2009-03-27,59.95378112792969,22.530609130859375,63.9730224609375,25.940000534057617,12.102086067199707,62.58705520629883,,73.68610382080078
2009-03-30,57.882083892822266,21.672910690307617,64.24620819091797,24.790000915527344,11.441790580749512,62.82654571533203,,73.6700439453125
2009-03-31,58.41834259033203,22.234848022460938,64.35953521728516,25.18000030517578,12.238177299499512,63.27544403076172,,73.63792419433594
2009-04-01,59.54974365234375,22.814533233642578,64.51722717285156,24.860000610351562,12.172649383544922,63.852962493896484,,73.65077209472656
2009-04-02,61.29079055786133,23.843753814697266,64.09622192382812,26.239999771118164,13.054725646972656,63.07255554199219,,73.60258483886719
2009-04-03,61.90056228637695,23.97980499267578,63.3611946105957,26.239999771118164,14.178747177124023,61.78195571899414,,73.65077209472656
2009-04-06,61.41569137573242,23.48293685913086,63.21421813964844,26.0,14.017452239990234,61.517826080322266,,73.63468170166016
2009-04-07,59.98316192626953,22.991979598999023,63.37456512451172,25.43000030517578,12.969042778015137,61.67388916015625,,73.63468170166016
2009-04-08,60.629608154296875,23.222665786743164,63.68860626220703,25.510000228881836,13.160581588745117,62.22014236450195,,73.66683959960938
2009-04-09,63.039222717285156,23.843753814697266,63.314388275146484,26.399999618530273,14.92473030090332,61.43976974487305,,73.61865234375
2009-04-13,63.053958892822266,24.080350875854492,63.68860626220703,25.889999389648438,14.97009563446045,62.004058837890625,,73.66683959960938
2009-04-14,61.96665954589844,23.849668502807617,64.01603698730469,25.600000381469727,13.699906349182129,62.3282470703125,,73.63468170166016
2009-04-15,62.62784194946289,24.16317367553711,64.07618713378906,25.920000076293945,14.889444351196289,62.22014236450195,,73.63468170166016
2009-04-16,63.54613494873047,24.316965103149414,63.82221984863281,26.100000381469727,15.388452529907227,61.72789764404297,,73.68286895751953
2009-04-17,63.97222900390625,24.234153747558594,63.30771255493164,25.84000015258789,15.665669441223145,61.049583435058594,,73.60258483886719
2009-04-20,61.29079055786133,23.24040985107422,63.74880599975586,24.299999237060547,14.052733421325684,61.97403335571289,,73.63468170166016
2009-04-21,62.48828887939453,23.772775650024414,63.501529693603516,24.489999771118164,15.297721862792969,61.361759185791016,,73.61865234375
2009-04-22,62.10625076293945,23.58348274230957,63.34780502319336,24.270000457763672,14.763440132141113,60.98957061767578,,73.66683959960938
2009-04-23,62.716026306152344,24.175004959106445,63.33447265625,24.65999984741211,15.428773880004883,60.9835319519043,,73.69894409179688
2009-04-24,63.66366195678711,24.547653198242188,63.08719253540039,25.1299991607666,16.159639358520508,60.371280670166016,,73.69894409179688
2009-04-27,63.06129837036133,24.257808685302734,63.34780502319336,24.399999618530273,15.191874504089355,60.62934494018555,,73.68286895751953
2009-04-28,62.8629264831543,24.02713394165039,63.04045486450195,24.31999969482422,15.393491744995117,59.63889694213867,,73.69894409179688
2009-04-29,64.1999740600586,24.64229965209961,62.69963836669922,24.899999618530273,16.063867568969727,59.110660552978516,,73.68286895751953
2009-04-30,64.22203063964844,24.796083450317383,62.59272766113281,24.790000915527344,15.993298530578613,58.876548767089844,,73.68286895751953
2009-05-01,64.56726837158203,25.085935592651367,62.39165115356445,25.81999969482422,15.469097137451172,58.471309661865234,,73.70697784423828
2009-05-04,66.76383209228516,26.126989364624023,62.45195007324219,26.43000030517578,16.74432373046875,58.66397476196289,,73.61062622070312
2009-05-05,66.53612518310547,25.866716384887695,62.43857955932617,26.239999771118164,16.119314193725586,58.591697692871094,,73.62667083740234
2009-05-06,67.68950653076172,26.49371910095215,62.46540832519531,27.100000381469727,16.7342472076416,58.453250885009766,,73.61062622070312
2009-05-07,66.74915313720703,26.050092697143555,61.94260787963867,27.309999465942383,15.77656364440918,57.02631378173828,,73.61062622070312
2009-05-08,68.3066177368164,27.179874420166016,62.01633834838867,28.100000381469727,16.83000946044922,57.164703369140625,,73.62667083740234
2009-05-11,67.0283432006836,26.48780632019043,62.599449157714844,28.049999237060547,16.189878463745117,57.97757339477539,,73.61062622070312
2009-05-12,66.83000183105469,26.77172088623047,62.55923843383789,28.09000015258789,16.144512176513672,58.18837356567383,,73.67488861083984
2009-05-13,65.14767456054688,25.86080551147461,62.847412109375,27.68000030517578,15.086026191711426,58.82052993774414,,73.62667083740234
2009-05-14,65.70599365234375,26.115156173706055,62.854095458984375,27.790000915527344,15.443896293640137,59.04930877685547,,73.64274597167969
2009-05-15,65.169677734375,25.878549575805664,62.699947357177734,26.889999389648438,14.92473030090332,59.03129196166992,,73.64274597167969
2009-05-18,67.02098083496094,26.866363525390625,62.33135223388672,27.979999542236328,16.12435531616211,58.11610412597656,,73.6909408569336
2009-05-19,66.94017028808594,27.1088924407959,62.244197845458984,27.959999084472656,15.81689453125,57.80900192260742,,73.67488861083984
2009-05-20,66.49205780029297,27.286344528198242,62.43857955932617,28.5,15.690875053405762,58.41710662841797,,73.61062622070312
2009-05-21,65.53701782226562,27.079307556152344,61.75493240356445,28.170000076293945,15.73624324798584,56.947933197021484,,73.65877532958984
2009-05-22,65.39739227294922,27.233108520507812,61.39300537109375,28.440000534057617,15.348127365112305,56.31574249267578,,73.67488861083984
2009-05-26,67.07244110107422,27.777297973632812,60.984188079833984,28.479999542236328,16.260446548461914,55.4667854309082,,73.6909408569336
2009-05-27,65.87494659423828,27.239023208618164,60.2938232421875,28.700000762939453,15.67071533203125,54.485328674316406,,73.6909408569336
2009-05-28,66.79324340820312,27.51703643798828,60.608821868896484,29.420000076293945,15.887451171875,55.27404022216797,,73.67488861083984
2009-05-29,67.97603607177734,28.067136764526367,61.29244613647461,30.1200008392334,16.411663055419922,56.70107650756836,,73.6909408569336
2009-06-01,69.62158966064453,28.759201049804688,60.29222869873047,31.020000457763672,17.253414154052734,55.02477264404297,,73.63311004638672
2009-06-02,69.68035888671875,29.00763702392578,60.493873596191406,31.0,16.89554786682129,55.32081985473633,,73.63311004638672
2009-06-03,68.7988052368164,28.14403533935547,60.863563537597656,29.719999313354492,16.86529541015625,55.840301513671875,,73.66522216796875
2009-06-04,69.4452896118164,28.321483612060547,60.157737731933594,30.920000076293945,17.404621124267578,54.68651580810547,,73.66522216796875
2009-06-05,69.45997619628906,27.972497940063477,59.559505462646484,30.5,17.3592586517334,54.26970291137695,,73.64913177490234
2009-06-08,69.17347717285156,27.913333892822266,59.256961822509766,30.549999237060547,17.041715621948242,54.130775451660156,,73.66522216796875
2009-06-09,69.52610778808594,28.25642204284668,59.51244354248047,31.049999237060547,17.041715621948242,54.12473678588867,,73.64913177490234
2009-06-10,69.3497543334961,28.309656143188477,59.1561279296875,31.25,16.74432373046875,53.273006439208984,,73.66522216796875
2009-06-11,69.65831756591797,28.794689178466797,59.559505462646484,32.029998779296875,16.401575088500977,53.86500549316406,,73.61705017089844
2009-06-12,69.84931945800781,28.646806716918945,59.87540817260742,31.520000457763672,16.996353149414062,54.34823989868164,,73.68131256103516
2009-06-15,68.24781799316406,27.617584228515625,60.14430618286133,30.950000762939453,16.189878463745117,54.8375244140625,,73.68131256103516
2009-06-16,67.32217407226562,27.298171997070312,60.48043441772461,30.8799991607666,15.89249324798584,55.79194641113281,,73.6973648071289
2009-06-17,67.25605773925781,27.37507438659668,60.319095611572266,30.950000762939453,15.590071678161621,55.477806091308594,,73.6973648071289
2009-06-18,67.74827575683594,27.32775115966797,59.58634567260742,31.059999465942383,15.695908546447754,54.63817596435547,,73.68131256103516
2009-06-19,67.99797058105469,27.75954818725586,59.86198043823242,30.450000762939453,15.85217571258545,55.3872184753418,,73.6973648071289
2009-06-22,65.95890808105469,26.866363525390625,60.18463134765625,29.25,15.025538444519043,55.924896240234375,,73.6973648071289
2009-06-23,66.01065063476562,27.21976089477539,60.37957763671875,29.8700008392334,15.136429786682129,56.58328628540039,,73.6973648071289
2009-06-24,66.57953643798828,27.24392318725586,60.15108871459961,29.809999465942383,15.466872215270996,56.01551055908203,,73.6973648071289
